week,quarter,sales_period,year
1,1,1,2019
2,1,1,2019
3,1,1,2019
4,1,1,2019
5,1,2,2019
6,1,2,2019
7,1,2,2019
8,1,2,2019
9,1,3,2019
10,1,3,2019
11,1,3,2019
12,1,3,2019
13,1,4,2019
14,2,4,2019
15,2,4,2019
16,2,4,2019
17,2,5,2019
18,2,5,2019
19,2,5,2019
20,2,5,2019
21,2,6,2019
22,2,6,2019
23,2,6,2019
24,2,6,2019
25,2,7,2019
26,2,7,2019
27,3,7,2019
28,3,7,2019
29,3,8,2019
30,3,8,2019
31,3,8,2019
32,3,8,2019
33,3,9,2019
34,3,9,2019
35,3,9,2019
36,3,9,2019
37,3,10,2019
38,3,10,2019
39,3,10,2019
40,4,10,2019
41,4,11,2019
42,4,11,2019
43,4,11,2019
44,4,11,2019
45,4,12,2019
46,4,12,2019
47,4,12,2019
48,4,12,2019
49,4,13,2019
50,4,13,2019
51,4,13,2019
52,4,13,2019
1,1,1,2020
2,1,1,2020
3,1,1,2020
4,1,1,2020
5,1,2,2020
6,1,2,2020
7,1,2,2020
8,1,2,2020
9,1,3,2020
10,1,3,2020
11,1,3,2020
12,1,3,2020
13,1,4,2020
14,2,4,2020
15,2,4,2020
16,2,4,2020
17,2,5,2020
18,2,5,2020
19,2,5,2020
20,2,5,2020
21,2,6,2020
22,2,6,2020
23,2,6,2020
24,2,6,2020
25,2,7,2020
26,2,7,2020
27,3,7,2020
28,3,7,2020
29,3,8,2020
30,3,8,2020
31,3,8,2020
32,3,8,2020
33,3,9,2020
34,3,9,2020
35,3,9,2020
36,3,9,2020
37,3,10,2020
38,3,10,2020
39,3,10,2020
40,4,10,2020
41,4,11,2020
42,4,11,2020
43,4,11,2020
44,4,11,2020
45,4,12,2020
46,4,12,2020
47,4,12,2020
48,4,12,2020
49,4,13,2020
50,4,13,2020
51,4,13,2020
52,4,13,2020
